國道別,方向,編號,設定收費區代碼,起點交流道,迄點交流道,收費區設定里程,小型車牌價,大型車牌價,聯結車牌價,緯度,經度
國道一號,S,01F-069.9S,01F0699S,楊梅,校前路,1.8,2.1,2.7,3.2,24.903297,121.159761
國道一號,N,01F-075.0N,01F0750N,湖口,校前路,12.8,15.3,19.2,23,24.893436,121.111731
國道一號,S,01F-075.0S,01F0750S,校前路,湖口,12.8,15.3,19.2,23,24.893436,121.111731
國道一號,N,01F-088.0N,01F0880N,竹北,湖口,7.3,8.7,10.9,13.1,24.848719,121.019031
國道一號,S,01F-088.0S,01F0880S,湖口,竹北,7.3,8.7,10.9,13.1,24.848719,121.019031
國道一號,N,01F-092.8N,01F0928N,新竹(新竹、竹東),竹北,3,3.6,4.5,5.4,24.808453,121.010306
國道一號,S,01F-092.8S,01F0928S,竹北,新竹(新竹、竹東),3,3.6,4.5,5.4,24.808453,121.010306
國道一號,S,01F-095.0S,01F0950S,新竹(新竹、竹東),新竹(科學園區),2.5,3,3.7,4.5,24.789622,121.005247
國道一號,N,01F-095.6N,01F0956N,新竹(科學園區),新竹(新竹、竹東),2.5,3,3.7,4.5,24.783944,121.003725
國道一號,N,01F-097.9N,01F0979N,新竹系統,新竹(科學園區),2.8,3.3,4.2,5,24.764414,120.999897
國道一號,S,01F-098.0S,01F0980S,新竹(科學園區),新竹系統,2.8,3.3,4.2,5,24.763586,120.998861
國道一號,N,01F-104.5N,01F1045N,頭份,新竹系統,11,13.2,16.5,19.8,24.727131,120.951897
國道一號,S,01F-104.5S,01F1045S,新竹系統,頭份,11,13.2,16.5,19.8,24.727131,120.951897
國道一號,N,01F-112.3N,01F1123N,頭屋,頭份,15.1,18.1,22.6,27.1,24.679317,120.904267
國道一號,S,01F-112.3S,01F1123S,頭份,頭屋,15.1,18.1,22.6,27.1,24.679317,120.904267
國道一號,N,01F-129.2N,01F1292N,苗栗,頭屋,7.4,8.8,11.1,13.3,24.550442,120.838925
國道一號,S,01F-129.2S,01F1292S,頭屋,苗栗,7.4,8.8,11.1,13.3,24.550442,120.838925
國道一號,N,01F-138.9N,01F1389N,銅鑼,苗栗,7.3,8.7,10.9,13.1,24.485919,120.781903
國道一號,S,01F-138.9S,01F1389S,苗栗,銅鑼,7.3,8.7,10.9,13.1,24.485919,120.781903
國道一號,N,01F-146.5N,01F1465N,三義,銅鑼,10,12,15,18,24.420514,120.775731
國道一號,S,01F-146.5S,01F1465S,銅鑼,三義,10,12,15,18,24.420514,120.775731
國道一號,N,01F-157.2N,01F1572N,后里,三義,10.5,12.6,15.7,18.9,24.339147,120.72085
國道一號,S,01F-157.2S,01F1572S,三義,后里,10.5,12.6,15.7,18.9,24.339147,120.72085
國道一號,N,01F-162.1N,01F1621N,臺中系統,后里,4.7,5.6,7,8.4,24.301186,120.697325
國道一號,S,01F-162.1S,01F1621S,后里,臺中系統,4.7,5.6,7,8.4,24.301186,120.697325
國道一號,N,01F-166.4N,01F1664N,豐原,臺中系統,2.5,3,3.7,4.5,24.262647,120.691956
國道一號,S,01F-166.4S,01F1664S,臺中系統,豐原,2.5,3,3.7,4.5,24.262647,120.691956
國道一號,N,01F-169.9N,01F1699N,大雅,豐原,6.2,7.4,9.3,11.1,24.231536,120.686625
國道一號,S,01F-169.9S,01F1699S,豐原,大雅,6.2,7.4,9.3,11.1,24.231536,120.686625
國道一號,N,01F-177.4N,01F1774N,臺中,大雅,4.4,5.2,6.6,7.9,24.184592,120.635611
國道一號,S,01F-177.4S,01F1774S,大雅,臺中,4.4,5.2,6.6,7.9,24.184592,120.635611
國道一號,N,01F-180.2N,01F1802N,南屯,臺中,2.8,3.3,4.2,5,24.163706,120.621933
國道一號,S,01F-180.2S,01F1802S,臺中,南屯,2.8,3.3,4.2,5,24.163706,120.621933
國道一號,N,01F-183.9N,01F1839N,王田,南屯,8.2,9.8,12.3,14.7,24.130767,120.617247
國道一號,S,01F-183.9S,01F1839S,南屯,王田,8.2,9.8,12.3,14.7,24.130767,120.617247
國道一號,N,01F-190.6N,01F1906N,彰化系統,王田,3.1,3.7,4.6,5.5,24.113572,120.568131
國道一號,S,01F-190.6S,01F1906S,王田,彰化系統,3.1,3.7,4.6,5.5,24.113572,120.568131
國道一號,N,01F-196.0N,01F1960N,彰化,彰化系統,5.6,6.7,8.4,10,24.085622,120.52785
國道一號,S,01F-196.0S,01F1960S,彰化系統,彰化,5.6,6.7,8.4,10,24.085622,120.52785
國道一號,N,01F-201.1N,01F2011N,埔鹽系統,彰化,9.1,10.9,13.6,16.3,24.040639,120.522786
國道一號,S,01F-201.1S,01F2011S,彰化,埔鹽系統,9.1,10.9,13.6,16.3,24.040639,120.522786
國道一號,N,01F-208.9N,01F2089N,員林,埔鹽系統,3.4,4,5.1,6.1,23.971794,120.506117
國道一號,S,01F-208.9S,01F2089S,埔鹽系統,員林,3.4,4,5.1,6.1,23.971794,120.506117
國道一號,N,01F-215.6N,01F2156N,北斗,員林,9.1,10.9,13.6,16.3,23.912769,120.49765
國道一號,S,01F-215.6S,01F2156S,員林,北斗,9.1,10.9,13.6,16.3,23.912769,120.49765
國道一號,N,01F-224.9N,01F2249N,西螺,北斗,10.4,12.4,15.6,18.7,23.830569,120.484881
國道一號,S,01F-224.9S,01F2249S,北斗,西螺,10.4,12.4,15.6,18.7,23.830569,120.484881
國道一號,N,01F-232.2N,01F2322N,虎尾,西螺,5.2,6.2,7.8,9.3,23.766328,120.469342
國道一號,S,01F-232.2S,01F2322S,西螺,虎尾,5.2,6.2,7.8,9.3,23.766328,120.469342
國道一號,N,01F-239.4N,01F2394N,斗南,虎尾,4.9,5.8,7.3,8.8,23.702603,120.474917
國道一號,S,01F-239.4S,01F2394S,虎尾,斗南,4.9,5.8,7.3,8.8,23.702603,120.474917
國道一號,N,01F-242.5N,01F2425N,雲林系統,斗南,3.2,3.8,4.8,5.7,23.677375,120.462281
國道一號,S,01F-242.5S,01F2425S,斗南,雲林系統,3.2,3.8,4.8,5.7,23.677375,120.462281
國道一號,N,01F-247.2N,01F2472N,大林,雲林系統,6.5,7.8,9.7,11.7,23.639556,120.443114
國道一號,S,01F-247.2S,01F2472S,雲林系統,大林,6.5,7.8,9.7,11.7,23.639556,120.443114
國道一號,N,01F-251.4N,01F2514N,民雄,大林,6.9,8.2,10.3,12.4,23.601989,120.435417
國道一號,S,01F-251.4S,01F2514S,大林,民雄,6.9,8.2,10.3,12.4,23.601989,120.435417
國道一號,N,01F-260.3N,01F2603N,嘉義,民雄,7.1,8.5,10.6,12.7,23.526739,120.405583
國道一號,S,01F-260.3S,01F2603S,民雄,嘉義,7.1,8.5,10.6,12.7,23.526739,120.405583
國道一號,N,01F-267.4N,01F2674N,水上,嘉義,6.2,7.4,9.3,11.1,23.469403,120.3777
國道一號,S,01F-267.4S,01F2674S,嘉義,水上,6.2,7.4,9.3,11.1,23.469403,120.3777
國道一號,N,01F-271.4N,01F2714N,嘉義系統,水上,2.5,3,3.7,4.5,23.436367,120.361561
國道一號,S,01F-271.4S,01F2714S,水上,嘉義系統,2.5,3,3.7,4.5,23.436367,120.361561
國道一號,N,01F-282.7N,01F2827N,新營服務區,嘉義系統,11.3,13.5,16.9,20.3,23.347469,120.322192
國道一號,S,01F-282.7S,01F2827S,嘉義系統,新營服務區,11.3,13.5,16.9,20.3,23.347469,120.322192
國道一號,N,01F-286.6N,01F2866N,新營,新營服務區,4.2,5,6.3,7.5,23.320994,120.298703
國道一號,S,01F-286.6S,01F2866S,新營服務區,新營,4.2,5,6.3,7.5,23.320994,120.298703
國道一號,N,01F-293.0N,01F2930N,下營系統,新營,11.2,13.4,16.8,20.1,23.272589,120.265769
國道一號,S,01F-293.0S,01F2930S,新營,下營系統,11.2,13.4,16.8,20.1,23.272589,120.265769
國道一號,N,01F-301.9N,01F3019N,麻豆,下營系統,4.1,4.9,6.1,7.3,23.197286,120.236422
國道一號,S,01F-301.9S,01F3019S,下營系統,麻豆,4.1,4.9,6.1,7.3,23.197286,120.236422
國道一號,N,01F-308.3N,01F3083N,安定,麻豆,7.5,9,11.2,13.5,23.140751,120.23327
國道一號,S,01F-308.3S,01F3083S,麻豆,安定,7.5,9,11.2,13.5,23.140751,120.23327
國道一號,N,01F-312.6N,01F3126N,臺南系統,安定,4.3,5.1,6.4,7.7,23.104817,120.247681
國道一號,S,01F-312.6S,01F3126S,安定,臺南系統,4.3,5.1,6.4,7.7,23.104817,120.247681
國道一號,N,01F-318.5N,01F3185N,永康,臺南系統,4.2,5,6.3,7.5,23.051311,120.253025
國道一號,S,01F-318.5S,01F3185S,臺南系統,永康,4.2,5,6.3,7.5,23.051311,120.253025
國道一號,N,01F-322.7N,01F3227N,大灣,永康,4.9,5.8,7.3,8.8,23.014172,120.249997
國道一號,S,01F-322.7S,01F3227S,永康,大灣,4.9,5.8,7.3,8.8,23.014172,120.249997
國道一號,N,01F-325.2N,01F3252N,仁德,大灣,2.9,3.4,4.3,5.2,22.991814,120.248175
國道一號,S,01F-325.2S,01F3252S,大灣,仁德,2.9,3.4,4.3,5.2,22.991814,120.248175
國道一號,N,01F-328.6N,01F3286N,仁德系統,仁德,3.3,3.9,4.9,5.9,22.960903,120.249822
國道一號,S,01F-328.6S,01F3286S,仁德,仁德系統,3.3,3.9,4.9,5.9,22.960903,120.249822
國道一號,N,01F-336.6N,01F3366N,路竹,仁德系統,7.6,9.1,11.4,13.6,22.892619,120.27215
國道一號,S,01F-336.6S,01F3366S,仁德系統,路竹,7.6,9.1,11.4,13.6,22.892619,120.27215
國道一號,N,01F-339.8N,01F3398N,高科,路竹,4.1,4.9,6.1,7.3,22.867419,120.284989
國道一號,S,01F-339.8S,01F3398S,路竹,高科,4.1,4.9,6.1,7.3,22.867419,120.284989
國道一號,N,01F-346.0N,01F3460N,岡山,高科,7,8.4,10.5,12.6,22.818039,120.312731
國道一號,S,01F-346.0S,01F3460S,高科,岡山,7,8.4,10.5,12.6,22.818039,120.312731
國道一號,N,01F-353.5N,01F3535N,楠梓(旗楠路),岡山,5.9,7,8.8,10.6,22.752806,120.334056
國道一號,S,01F-353.5S,01F3535S,岡山,楠梓(旗楠路),5.9,7,8.8,10.6,22.752806,120.334056
國道一號,N,01F-355.9N,01F3559N,楠梓(鳳楠路),楠梓(旗楠路),1.8,2.1,2.7,3.2,22.730903,120.334286
國道一號,S,01F-356.1S,01F3561S,楠梓(旗楠路),楠梓(鳳楠路),1.8,2.1,2.7,3.2,22.728956,120.333764
國道一號,N,01F-359.0N,01F3590N,鼎金系統,楠梓(鳳楠路),5.2,6.2,7.8,9.3,22.703364,120.328181
國道一號,S,01F-359.0S,01F3590S,楠梓(鳳楠路),鼎金系統,5.2,6.2,7.8,9.3,22.703364,120.328181
國道一號,N,01F-364.0N,01F3640N,高雄(九如、建國路),鼎金系統,4.3,5.1,6.4,7.7,22.658892,120.332081
國道一號,S,01F-364.0S,01F3640S,鼎金系統,高雄(九如、建國路),4.3,5.1,6.4,7.7,22.658892,120.332081
國道一號,N,01F-367.6N,01F3676N,高雄(中正、三多路),高雄(九如、建國路),1.2,1.4,1.8,2.1,22.627819,120.336222
國道一號,S,01F-367.6S,01F3676S,高雄(九如、建國路),高雄(中正、三多路),1.2,1.4,1.8,2.1,22.627819,120.336222
國道一號,S,01F-368.6S,01F3686S,高雄(中正、三多路),瑞隆路出口匝道,2,2.4,3,3.6,22.619119,120.336647
國道一號,N,01F-369.6N,01F3696N,五甲系統,高雄(中正、三多路),2.9,3.4,4.3,5.2,22.609428,120.339608
國道一號,N,01F-373.6N,01F3736N,高雄端(漁港路),高雄端(中山四路),1.2,1.4,1.8,2.1,22.581933,120.32315
國道一號,S,01F-373.6S,01F3736S,高雄端(中山四路),高雄端(漁港路),1.2,1.4,1.8,2.1,22.581933,120.32315
國道一號高架,S,01H-016.3S,01H0163S,汐止&汐止系統,堤頂,7.5,9,11.2,13.5,25.064006,121.598733
國道一號高架,N,01H-017.4N,01H0174N,堤頂,汐止&汐止系統,7.5,9,11.2,13.5,25.065544,121.588044
國道一號高架,N,01H-020.0N,01H0200N,下塔悠出口匝道,堤頂,1.7,2,2.5,3,25.070994,121.562519
國道一號高架,S,01H-020.6S,01H0206S,堤頂,環北,6.8,8.1,10.2,12.2,25.07275,121.557739
國道一號高架,N,01H-020.8N,01H0208N,環北,下塔悠出口匝道,5.1,6.1,7.6,9.1,25.072261,121.555014
國道一號高架,N,01H-027.1N,01H0271N,五股(高架),環北,7.4,8.8,11.1,13.3,25.075256,121.494019
國道一號高架,S,01H-030.5S,01H0305S,環北,五股(高架),7.4,8.8,11.1,13.3,25.075553,121.460661
國道一號高架,N,01H-033.3N,01H0333N,高公局,五股(高架),1.4,1.6,2.1,2.5,25.068147,121.435133
國道一號高架,S,01H-033.4S,01H0334S,五股(高架),高公局,1.4,1.6,2.1,2.5,25.068728,121.433281
國道一號高架,N,01H-044.7N,01H0447N,機場系統,高公局,17.8,21.3,26.7,32,25.059242,121.332072
國道一號高架,S,01H-044.7S,01H0447S,高公局,機場系統,17.8,21.3,26.7,32,25.060125,121.331858
國道一號高架,N,01H-057.9N,01H0579N,中壢,機場系統,10.2,12.2,15.3,18.3,24.983667,121.232981
國道一號高架,S,01H-057.9S,01H0579S,機場系統,中壢,10.2,12.2,15.3,18.3,24.984094,121.232531
國道一號高架,N,01H-060.8N,01H0608N,校前路,中壢,8.5,10.2,12.7,15.3,24.965878,121.211614
國道一號高架,S,01H-061.0S,01H0610S,中壢,校前路,8.5,10.2,12.7,15.3,24.96525,121.209867
國道三甲,N,03A-001.5N,03A0015N,萬芳,臺北端,3.6,4.3,5.4,6.4,25.011819,121.562375
國道三甲,S,03A-001.5S,03A0015S,臺北端,萬芳,3.6,4.3,5.4,6.4,25.011819,121.562375
國道三甲,N,03A-004.1N,03A0041N,木柵,萬芳,1.5,1.8,2.2,2.7,25.003864,121.586039
國道三甲,S,03A-004.1S,03A0041S,萬芳,木柵,1.5,1.8,2.2,2.7,25.003864,121.586039
國道三號,S,03F-000.6S,03F0006S,基金,瑪東系統,2.3,2.7,3.4,4.1,25.137106,121.708908
國道三號,N,03F-002.1N,03F0021N,瑪東系統,基金,2.3,2.7,3.4,4.1,25.129514,121.698631
國道三號,N,03F-005.4N,03F0054N,汐止系統,瑪東系統,8.4,10,12.6,15.1,25.103747,121.681789
國道三號,S,03F-008.7S,03F0087S,瑪東系統,汐止系統,8.4,10,12.6,15.1,25.089994,121.653556
國道三號,N,03F-011.6N,03F0116N,新台五路,汐止系統,2.1,2.5,3.1,3.7,25.065611,121.643467
國道三號,S,03F-011.6S,03F0116S,汐止系統,新台五路,2.1,2.5,3.1,3.7,25.065611,121.643467
國道三號,S,03F-013.6S,03F0136S,新台五路,南港,1.7,2,2.5,3,25.052742,121.631281
國道三號,N,03F-014.0N,03F0140N,南港,新台五路,1.7,2,2.5,3,25.050319,121.628156
國道三號,N,03F-015.0N,03F0150N,南港系統&南深路出口匝道,南港,1.2,1.4,1.8,2.1,25.042389,121.624789
國道三號,S,03F-015.8S,03F0158S,南港,南港系統,1.2,1.4,1.8,2.1,25.036533,121.621386
國道三號,N,03F-020.1N,03F0201N,木柵,南港系統&南深路出口匝道,4.4,5.2,6.6,7.9,25.007375,121.596381
國道三號,S,03F-020.1S,03F0201S,南港系統,木柵,4.7,5.6,7,8.4,25.007436,121.595981
國道三號,N,03F-021.7N,03F0217N,新店,木柵,6.3,7.5,9.4,11.3,24.993744,121.593367
國道三號,S,03F-021.7S,03F0217S,木柵,新店,6.3,7.5,9.4,11.3,24.993567,121.592933
國道三號,N,03F-030.1N,03F0301N,安坑,新店,4.1,4.9,6.1,7.3,24.96255,121.530572
國道三號,S,03F-030.1S,03F0301S,新店,安坑,4.1,4.9,6.1,7.3,24.96255,121.530572
國道三號,S,03F-033.7S,03F0337S,安坑,中和,4.8,5.7,7.2,8.6,24.978881,121.502381
國道三號,N,03F-033.8N,03F0338N,中和,安坑,4.8,5.7,7.2,8.6,24.978586,121.501744
國道三號,N,03F-039.4N,03F0394N,土城,中和,6.7,8,10,12,24.975247,121.454925
國道三號,S,03F-039.4S,03F0394S,中和,土城,6.7,8,10,12,24.975247,121.454925
國道三號,N,03F-044.7N,03F0447N,樹林,土城,4.9,5.8,7.3,8.8,24.950503,121.412681
國道三號,S,03F-044.7S,03F0447S,土城,樹林,4.9,5.8,7.3,8.8,24.950503,121.412681
國道三號,N,03F-049.8N,03F0498N,三鶯,樹林,3.3,3.9,4.9,5.9,24.943825,121.365275
國道三號,S,03F-049.8S,03F0498S,樹林,三鶯,3.3,3.9,4.9,5.9,24.943825,121.365275
國道三號,N,03F-052.5N,03F0525N,鶯歌系統,三鶯,3.7,4.4,5.5,6.6,24.936025,121.3419
國道三號,S,03F-052.5S,03F0525S,三鶯,鶯歌系統,3.7,4.4,5.5,6.6,24.936025,121.3419
國道三號,N,03F-055.9N,03F0559N,大溪,鶯歌系統,8.4,10,12.6,15.1,24.930225,121.312458
國道三號,S,03F-055.9S,03F0559S,鶯歌系統,大溪,8.4,10,12.6,15.1,24.930225,121.312458
國道三號,N,03F-064.8N,03F0648N,龍潭,大溪,5.5,6.6,8.2,9.9,24.878792,121.250839
國道三號,S,03F-064.8S,03F0648S,大溪,龍潭,5.5,6.6,8.2,9.9,24.878792,121.250839
國道三號,N,03F-069.8N,03F0698N,高原,龍潭,4.7,5.6,7,8.4,24.856558,121.208581
國道三號,S,03F-069.8S,03F0698S,龍潭,高原,4.7,5.6,7,8.4,24.856558,121.208581
國道三號,N,03F-074.6N,03F0746N,關西服務區,高原,3.2,3.8,4.8,5.7,24.816364,121.200339
國道三號,S,03F-074.6S,03F0746S,高原,關西服務區,3.2,3.8,4.8,5.7,24.816364,121.200339
國道三號,N,03F-078.3N,03F0783N,關西,關西服務區,3,3.6,4.5,5.4,24.797339,121.179128
國道三號,S,03F-078.3S,03F0783S,關西服務區,關西,3,3.6,4.5,5.4,24.797339,121.179128
國道三號,N,03F-084.6N,03F0846N,竹林,關西,11.1,13.3,16.6,19.9,24.791439,121.125997
國道三號,S,03F-084.6S,03F0846S,關西,竹林,11.1,13.3,16.6,19.9,24.791439,121.125997
國道三號,N,03F-096.1N,03F0961N,寶山,竹林,8.5,10.2,12.7,15.3,24.758442,121.030425
國道三號,S,03F-096.1S,03F0961S,竹林,寶山,8.5,10.2,12.7,15.3,24.758442,121.030425
國道三號,N,03F-099.6N,03F0996N,新竹系統,寶山,1.9,2.2,2.8,3.4,24.755811,120.997269
國道三號,S,03F-099.6S,03F0996S,寶山,新竹系統,1.9,2.2,2.8,3.4,24.755811,120.997269
國道三號,N,03F-102.2N,03F1022N,茄苳,新竹系統,3.2,3.8,4.8,5.7,24.757914,120.972267
國道三號,S,03F-102.2S,03F1022S,新竹系統,茄苳,3.2,3.8,4.8,5.7,24.757914,120.972267
國道三號,N,03F-105.1N,03F1051N,香山,茄苳,5.3,6.3,7.9,9.5,24.753094,120.945675
國道三號,S,03F-105.1S,03F1051S,茄苳,香山,5.3,6.3,7.9,9.5,24.753094,120.945675
國道三號,N,03F-112.8N,03F1128N,西濱,香山,5.6,6.7,8.4,10,24.711383,120.889639
國道三號,S,03F-112.8S,03F1128S,香山,西濱,5.6,6.7,8.4,10,24.711383,120.889639
國道三號,N,03F-116.1N,03F1161N,竹南,西濱,3.7,4.4,5.5,6.6,24.698006,120.860086
國道三號,S,03F-116.1S,03F1161S,西濱,竹南,3.7,4.4,5.5,6.6,24.698006,120.860086
國道三號,N,03F-121.5N,03F1215N,大山,竹南,5.4,6.4,8.1,9.7,24.655964,120.838242
國道三號,S,03F-121.5S,03F1215S,竹南,大山,5.4,6.4,8.1,9.7,24.655964,120.838242
國道三號,N,03F-125.7N,03F1257N,後龍,大山,5.7,6.8,8.5,10.2,24.627161,120.814006
國道三號,S,03F-125.7S,03F1257S,大山,後龍,5.7,6.8,8.5,10.2,24.627161,120.814006
國道三號,N,03F-133.2N,03F1332N,西湖服務區,後龍,4.7,5.6,7,8.4,24.579642,120.764417
國道三號,S,03F-133.2S,03F1332S,後龍,西湖服務區,4.7,5.6,7,8.4,24.579642,120.764417
國道三號,N,03F-139.5N,03F1395N,通霄,西湖服務區,9.4,11.2,14.1,16.9,24.531125,120.733253
國道三號,S,03F-139.5S,03F1395S,西湖服務區,通霄,9.4,11.2,14.1,16.9,24.531125,120.733253
國道三號,N,03F-148.5N,03F1485N,苑裡,通霄,12.5,15,18.7,22.5,24.467308,120.681217
國道三號,S,03F-148.5S,03F1485S,通霄,苑裡,12.5,15,18.7,22.5,24.467308,120.681217
國道三號,N,03F-163.3N,03F1633N,大甲,苑裡,7.5,9,11.2,13.5,24.341119,120.651567
國道三號,S,03F-163.3S,03F1633S,苑裡,大甲,7.5,9,11.2,13.5,24.341119,120.651567
國道三號,N,03F-165.1N,03F1651N,中港系統,大甲,4.7,5.6,7,8.4,24.334719,120.635578
國道三號,S,03F-165.1S,03F1651S,大甲,中港系統,4.7,5.6,7,8.4,24.334719,120.635578
國道三號,N,03F-171.0N,03F1710N,清水服務區,中港系統,3.5,4.2,5.2,6.3,24.292881,120.601964
國道三號,S,03F-171.0S,03F1710S,中港系統,清水服務區,3.5,4.2,5.2,6.3,24.292881,120.601964
國道三號,N,03F-173.9N,03F1739N,沙鹿,清水服務區,3.7,4.4,5.5,6.6,24.269464,120.590806
國道三號,S,03F-173.9S,03F1739S,清水服務區,沙鹿,3.7,4.4,5.5,6.6,24.269464,120.590806
國道三號,N,03F-177.9N,03F1779N,龍井,沙鹿,6.7,8,10,12,24.234647,120.593306
國道三號,S,03F-177.9S,03F1779S,沙鹿,龍井,6.7,8,10,12,24.234647,120.593306
國道三號,N,03F-186.0N,03F1860N,和美,龍井,8.8,10.5,13.2,15.8,24.177831,120.548244
國道三號,S,03F-186.0S,03F1860S,龍井,和美,8.8,10.5,13.2,15.8,24.177831,120.548244
國道三號,N,03F-194.1N,03F1941N,彰化系統,和美,5.1,6.1,7.6,9.1,24.120947,120.534547
國道三號,S,03F-194.4S,03F1944S,和美,彰化系統,5.1,6.1,7.6,9.1,24.119011,120.536692
國道三號,S,03F-199.1S,03F1991S,彰化系統,快官,5.4,6.4,8.1,9.7,24.102808,120.577661
